0.000,87.000,,,
0.007,86.859,,,
0.031,85.545,,,
0.064,83.970,,,
0.087,82.951,,,
0.120,81.632,,,
0.150,80.224,,,
0.177,78.905,,,
0.210,77.498,,,
0.232,76.178,,,
0.254,75.035,,,
0.276,74.156,,,
0.297,73.012,,,
0.327,71.957,,,
0.338,71.165,,,
0.357,69.758,,,
0.382,68.878,,,
0.420,66.592,,,
0.458,64.305,,,
0.483,63.161,,,
0.504,61.754,,,
0.521,60.787,,,
0.534,59.467,,,
0.554,58.676,,,
0.573,57.357,,,
0.597,56.125,,,
0.619,55.158,,,
0.627,53.750,,,
0.652,52.431,,,
0.679,51.376,,,
0.695,50.232,,,
0.717,49.001,,,
0.731,47.946,,,
0.747,46.714,,,
0.761,46.104,,,
0.775,44.882,,,
0.797,43.864,,,
0.817,42.948,,,
0.833,41.727,,,
0.852,40.403,,,
0.868,39.538,,,
0.888,38.724,,,
0.904,37.655,,,
0.925,36.433,,,
0.940,35.110,,,
0.961,34.448,,,
0.988,33.226,,,
1.010,32.158,,,
1.027,30.783,,,
1.049,29.714,,,
1.070,28.595,,,
1.090,27.577,,,
1.114,26.813,,,
1.134,25.693,,,
1.155,24.828,,,
1.172,23.810,,,
1.199,22.894,,,
1.221,22.131,,,
1.243,21.316,,,
1.258,20.400,,,
1.284,19.586,,,
1.310,18.822,,,
1.322,18.059,,,
1.343,17.397,,,
1.365,16.684,,,
1.374,16.175,,,
1.393,15.768,,,
1.418,15.056,,,
1.428,14.445,,,
1.448,13.936,,,
1.474,13.172,,,
1.497,12.918,,,
1.524,12.205,,,
1.559,11.493,,,
1.579,10.678,,,
1.608,10.271,,,
1.641,9.609,,,
1.672,8.999,,,
1.698,8.591,,,
1.713,8.133,,,
1.743,7.624,,,
1.772,7.319,,,
1.800,6.842,,,
1.836,6.311,,,
1.861,5.928,,,
1.892,5.546,,,
1.925,5.163,,,
1.957,4.868,,,
1.994,4.456,,,
2.036,4.014,,,
2.078,3.749,,,
2.116,3.425,,,
2.155,3.189,,,
2.189,2.836,,,
2.227,2.541,,,
2.267,2.423,,,
2.301,2.305,,,
2.330,2.129,,,
2.364,2.040,,,
2.399,1.834,,,
2.438,1.746,,,
2.474,1.628,,,
2.507,1.392,,,
2.531,1.333,,,
2.562,1.216,,,
2.608,1.127,,,
2.659,1.127,,,
2.705,1.039,,,
2.739,0.951,,,
2.783,0.833,,,
2.820,0.774,,,
2.864,0.744,,,
2.905,0.744,,,
2.944,0.685,,,
2.976,0.597,,,
3.016,0.509,,,
3.064,0.450,,,
3.107,0.391,,,
3.148,0.332,,,
3.177,0.244,,,
3.214,0.273,,,
3.263,0.214,,,
3.308,0.037,,,
3.350,0.037,,,
3.391,0.008,,,
3.437,0.051,,,
3.485,0.051,,,
3.538,0.008,,,
3.591,0.051,,,
3.647,0.021,,,
3.697,0.021,,,
3.757,0.021,,,
3.809,0.021,,,
3.853,0.021,,,
3.902,0.155,,,
3.942,0.155,,,
3.978,0.067,,,
4.019,0.126,,,
4.066,0.096,,,
4.108,0.067,,,
4.150,0.008,,,
4.192,0.096,,,
4.239,0.096,,,
4.286,0.037,,,
4.335,0.037,,,
4.388,0.008,,,
4.439,0.037,,,
4.491,0.067,,,
4.537,0.037,,,
4.590,0.021,,,
4.646,0.021,,,
4.701,0.008,,,
4.761,0.067,,,
4.834,0.037,,,
4.900,0.008,,,
4.942,0.037,,,
4.991,0.096,,,
5.000,0.001,,,
