DeviceID,PeripheralID,Name,MotionType,PositionScale,VelocityScale,AccelerationScale,ForceScale,IsScaleResolutionDependent,
902,1258,T-CD2500 Controller + LMR58,Rotary,100,10.666667,0.008889,0,1,
902,1260,T-CD2500 Controller + LMG60,Rotary,133.333333,14.222222,0.011852,0,1,
902,1261,T-CD2500 Controller + LMR60,Rotary,100,10.666667,0.008889,0,1,
902,1282,T-CD2500 Controller + LMR82,Rotary,100,10.666667,0.008889,0,1,
902,2081,T-CD2500 Controller + NM08A,Rotary,0.555556,0.059259,0.000049,0,1,
902,2082,T-CD2500 Controller + NM08B,Rotary,0.555556,0.059259,0.000049,0,1,
902,2111,T-CD2500 Controller + NM11A,Rotary,0.555556,0.059259,0.000049,0,1,
902,2112,T-CD2500 Controller + NM11B,Rotary,0.555556,0.059259,0.000049,0,1,
902,2113,T-CD2500 Controller + NM11C,Rotary,0.555556,0.059259,0.000049,0,1,
902,2171,T-CD2500 Controller + NM17A,Rotary,0.555556,0.059259,0.000049,0,1,
902,2172,T-CD2500 Controller + NM17B,Rotary,0.555556,0.059259,0.000049,0,1,
902,2173,T-CD2500 Controller + NM17C,Rotary,0.555556,0.059259,0.000049,0,1,
902,2231,T-CD2500 Controller + NM23A,Rotary,0.555556,0.059259,0.000049,0,1,
902,2232,T-CD2500 Controller + NM23B,Rotary,0.555556,0.059259,0.000049,0,1,
902,2233,T-CD2500 Controller + NM23C,Rotary,0.555556,0.059259,0.000049,0,1,
902,2341,T-CD2500 Controller + NM34A,Rotary,0.555556,0.059259,0.000049,0,1,
902,2342,T-CD2500 Controller + NM34B,Rotary,0.555556,0.059259,0.000049,0,1,
902,2343,T-CD2500 Controller + NM34C,Rotary,0.555556,0.059259,0.000049,0,1,
902,7915,T-CD2500 Controller + LLS915,Linear,100000,10666.66667,8.888889,0,1,
902,30816,T-CD2500 Controller + NA08A16,Linear,328083.9895,34995.62555,29.163021,0,1,
902,30830,T-CD2500 Controller + NA08A30,Linear,328083.9895,34995.62555,29.163021,0,1,
902,30916,T-CD2500 Controller + NA08B16,Linear,164041.9948,17497.81277,14.581511,0,1,
902,30930,T-CD2500 Controller + NA08B30,Linear,164041.9948,17497.81277,14.581511,0,1,
902,31116,T-CD2500 Controller + NA11B16,Linear,157480.315,16797.90026,13.99825,0,1,
902,31130,T-CD2500 Controller + NA11B30,Linear,157480.315,16797.90026,13.99825,0,1,
902,31160,T-CD2500 Controller + NA11B60,Linear,157480.315,16797.90026,13.99825,0,1,
902,31416,T-CD2500 Controller + NA14B16,Linear,164041.9948,17497.81277,14.581511,0,1,
902,31430,T-CD2500 Controller + NA14B30,Linear,164041.9948,17497.81277,14.581511,0,1,
902,31460,T-CD2500 Controller + NA14B60,Linear,164041.9948,17497.81277,14.581511,0,1,
902,32360,T-CD2500 Controller + NA23C60,Linear,78740.15748,8398.950131,6.999125,0,1,
902,33460,T-CD2500 Controller + NA34C60,Linear,78740.15748,8398.950131,6.999125,0,1,
952,0,T-MCA Controller,None,0,0,0,0,0,
952,536,T-MCA Controller + RS36-T6,Rotary,154.606533,16.491363,0.013743,0,1,
952,560,T-MCA Controller + RS60A,Rotary,66.666667,7.111111,0.005926,0,1,
952,562,T-MCA Controller + RS60A-V,Rotary,66.666667,7.111111,0.005926,0,1,
952,564,T-MCA Controller + RS60C,Rotary,16.666667,1.777778,0.001481,0,1,
952,566,T-MCA Controller + RS60C-V,Rotary,16.666667,1.777778,0.001481,0,1,
952,1215,T-MCA Controller + LML15,Linear,200000,21333.33333,17.777778,0,1,
952,1225,T-MCA Controller + LML25,Linear,400000,42666.66667,35.555556,0,1,
952,1239,T-MCA Controller + LMR39,Rotary,100,10.666667,0.008889,0,1,
952,1240,T-MCA Controller + LMG40,Rotary,133.333333,14.222222,0.011852,0,1,
952,1250,T-MCA Controller + LML50,Linear,400000,42666.66667,35.555556,0,1,
952,1258,T-MCA Controller + LMR58,Rotary,100,10.666667,0.008889,0,1,
952,1260,T-MCA Controller + LMG60,Rotary,133.333333,14.222222,0.011852,0,1,
952,1261,T-MCA Controller + LMR60,Rotary,100,10.666667,0.008889,0,1,
952,1282,T-MCA Controller + LMR82,Rotary,100,10.666667,0.008889,0,1,
952,2081,T-MCA Controller + NM08A06,Rotary,0.555556,0.059259,0.000049,0,1,
952,2082,T-MCA Controller + NM08B08,Rotary,0.555556,0.059259,0.000049,0,1,
952,2111,T-MCA Controller + NM11A07,Rotary,0.555556,0.059259,0.000049,0,1,
952,2112,T-MCA Controller + NM11B07,Rotary,0.555556,0.059259,0.000049,0,1,
952,2113,T-MCA Controller + NM11C07,Rotary,0.555556,0.059259,0.000049,0,1,
952,2171,T-MCA Controller + NM17A10,Rotary,0.555556,0.059259,0.000049,0,1,
952,2172,T-MCA Controller + NM17B12,Rotary,0.555556,0.059259,0.000049,0,1,
952,2173,T-MCA Controller + NM17C12,Rotary,0.555556,0.059259,0.000049,0,1,
952,2231,T-MCA Controller + NM23A10,Rotary,0.555556,0.059259,0.000049,0,1,
